gc fini
État du tas:
Bloc à l'adresse 0x55975a44c9b0: Taille: 0, Tag: 0, Couleur: Noir
Bloc à l'adresse 0x55975a44c9b8: Taille: 1, Tag: 0, Couleur: Noir
Bloc à l'adresse 0x55975a44c9c8: Taille: 1, Tag: 0, Couleur: Noir
Bloc à l'adresse 0x55975a44c9d8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44c9f0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44ca08: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44ca20: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44ca38: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44ca50: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44ca68: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44ca80: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44ca98: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cab0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cac8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cae0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44caf8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cb10: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cb28: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cb40: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cb58: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cb70: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cb88: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cba0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cbb8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cbd0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cbe8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cc00: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cc18: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cc30: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cc48: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cc60: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cc78: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cc90: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cca8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44ccc0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44ccd8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44ccf0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cd08: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cd20: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cd38: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cd50: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cd68: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cd80: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cd98: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cdb0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44cdc8: Taille: 2, Tag: 2, Couleur: Noir
